,Utterance,Participant,Start,End,Transcript,Action_Objects,Annotation,DPed
0,0,2,5.97,8.04,or is [it],,[g],or is green block
1,1,2,8.07,11.55,yeah green is for twenty,,,yeah green is for twenty
2,3,3,15.45,18.21,i'll just take [these] off and then we can have a little more,"a1-PurpleBlock, a59-RedBlock, a83-RedBlock, a104-PurpleBlock",[rb],"i'll just take red block, blue block off and then we can have a little more"
3,6,3,22.65,24.63,[it]'s ok,,[-],it's ok
4,7,1,25.74,29.02,can i add the red one or blue one here maybe [it] might be thirty,,[p],can i add the red one or blue one here maybe purple block might be thirty
5,9,2,32.52,35.67,so twenty [that]'s thirty,,[p],so twenty purple block's thirty
6,11,3,42.6,47.75,i mean the fact [that] [it]'s teetering back and forth [it]'s close enough [they]'re just increments of ten grams,,[-] [-] [-] [rbgyp],"i mean the fact that it's teetering back and forth it's close enough red block, blue block, green block, yellow block, purple block're just increments of ten grams"
7,12,1,45.45,48.72,yeah so the blue one is thirty,,,yeah so the blue one is thirty
8,13,2,48.78,51.75,blue is thirty big blue is thirty,a105-PurpleBlock,,blue is thirty big blue is thirty
9,15,3,51.87,54.33,so [it]'s thirty here,"a4-PurpleBlock, a5-GreenBlock, a106-GreenBlock",[p],so purple block's thirty here
10,16,2,56.55,64.66,did we measure we didn't measure the the yellow one right we might,,,did we measure we didn't measure the the yellow one right we might
11,17,1,58.58,64.86,did we measure we didn't measure the yellow just keep one,,,did we measure we didn't measure the yellow just keep one
12,20,2,60.3,73.95,let's try both the green ones now i mean both the big ones yeah,"a7-YellowBlock, a8-RedBlock, a9-RedBlock, a10-PurpleBlock, a11-RedBlock, a62-BlueBlock, a63-PurpleBlock, a64-GreenBlock, a84-BlueBlock, a107-YellowBlock, a108-GreenBlock",,let's try both the green ones now i mean both the big ones yeah
13,23,1,74.07,76.05,oh [that]'s too left,,[-],oh that's too left
14,24,1,76.41,78.45,try the red,a65-GreenBlock,,try the red
15,25,1,78.51,80.61,keep [that] one,"a12-GreenBlock, a109-GreenBlock",[b],keep blue block one
16,26,2,84.75,88.17,what if we do the green one and the two smaller cubes,,,what if we do the green one and the two smaller cubes
17,27,2,88.53,91.26,cause [that]'s going to be pushing [that] way,,[-] [-],cause that's going to be pushing that way
18,28,3,91.53,92.76,gotcha are [they] centered,,[rbpy],"gotcha are red block, blue block, purple block, yellow block centered"
