,Utterance,Participant,Start,End,Transcript,Action_Objects,Annotation,DPed
0,14,3,58.33,58.84,[it]'s right there,,[-],it's right there
1,20,3,70.51,70.01,um [it]'s turned off,,[-],um it's turned off
2,24,1,78.08,80.58,ok well [it] would be nine minus ten,"a2-RedBlock, a206-RedBlock",[r],ok well red block would be nine minus ten
3,26,2,80.58,84.3,[that]'s ten so then,"a3-BlueBlock, a207-BlueBlock",[r],red block's ten so then
4,27,1,86.07,87.41,just like put [it] on,,[-],just like put it on
5,30,3,95.19,97.17,[it] seems pretty balanced,,[rb],"red block, blue block seems pretty balanced"
6,31,1,97.56,102.03,yeah ok so now we know [that] [this] is also ten,"a4-BlueBlock, a208-BlueBlock",[-] [b],yeah ok so now we know that blue block is also ten
7,34,1,106.23,110.01,what would we maybe put [that] one on there too,"a5-PurpleBlock, a6-BlueBlock, a209-PurpleBlock",[b],what would we maybe put blue block one on there too
8,37,2,112.16,112.92,[it]'s more,,[p],purple block's more
9,38,1,114.87,120.33,lets try [this] one oh gee louise [this] one,"a7-PurpleBlock, a8-YellowBlock, a9-YellowBlock, a10-GreenBlock, a210-PurpleBlock, a25-None, a26-None, a211-GreenBlock",[y] [g],lets try yellow block one oh gee louise green block one
10,41,2,127.35,132.0,ok so [this] one is probably twenty ten ten twenty,,[g],ok so green block one is probably twenty ten ten twenty
11,44,1,132.27,139.65,ok so now lets start at thirty alright put one of [those] on there,"a11-GreenBlock, a12-RedBlock, a13-GreenBlock, a14-PurpleBlock, a29-GreenBlock, a212-PurpleBlock",[yp],"ok so now lets start at thirty alright put one of yellow block, purple block on there"
12,48,2,142.91,144.92,probably thirty at [this] point,,[-],probably thirty at this point
13,49,1,148.86,159.42,ok so we got ok yeah [this] one is really heavy so lets do the a [this] and a ten,"a15-PurpleBlock, a16-YellowBlock, a17-GreenBlock, a31-PurpleBlock, a33-BlueBlock",[y] [p],ok so we got ok yeah yellow block one is really heavy so lets do the a purple block and a ten
