Participant,Start,End,Transcript,keywords,Action_Objects
3,98.5,101.75,i think so as well or i think it's the other way around uh,it,
2,107.31,109.09,it seems to be ten,it,
2,112.42,114.67,is that blue or purple this is blue i guess,"blue, purple, blue, that, this","a3-BlueBlock, a127-BlueBlock"
3,114.41,115.17,this is blue,"blue, this",
3,116.42,118.12,and this was ten,this,
2,119.25,123.5,and we can now we have twenty so we can try to put one of them,them,"a4-BlueBlock, a89-PurpleBlock, a128-PurpleBlock"
3,125.75,127.5,oh that's the heaviest,that,"a5-PurpleBlock, a129-PurpleBlock"
2,128.54,129.82,oh this seems to heavy,this,"a6-YellowBlock, a130-YellowBlock"
1,136.92,138.42,think it should be,it,
3,139.87,142.15,yeah they should be twenty as well,they,
3,147.5,149.0,should i put this as twenty,this,
1,149.74,150.25,green,green,"a9-GreenBlock, a133-GreenBlock"
1,152.57,153.59,now it's forty,it,
1,155.75,156.25,this is,this,a10-PurpleBlock
1,159.06,160.01,no no no that's silly,that,
2,160.86,161.59,i think that's heavier,that,a12-Yellowblock
1,162.17,163.67,this one or this one,"this, this",a13-PurpleBlock
2,163.58,164.92,eh that one is lighter yeah,that,
3,179.32,181.84,yeah i think it's yeah thirty,it,
2,207.51,211.07,so it's not exactly aligning but it could be,"it, it",
2,227.54,229.59,fifty and the purple is,purple,
3,236.42,244.67,fifty oh purple is thirty yellow,"purple, yellow",a23-RedBlock
1,239.45,242.67,i'm sorry it purple is thirty,"purple, it",
2,243.0,246.17,uh it's not exactly aligning should i,it,
2,246.75,251.0,so this seem it's little more yeah so should i put something here,"this, it",
1,250.0,252.09,do you want to put ten it is,it,"a93-BlueBlock, a140-BlueBlock"
3,252.81,254.33,we can try it yeah,it,
2,260.24,262.17,but then that'll even this is,"that, this",a141-None
2,263.17,264.67,this is ten ok we know that this is ten,"this, that, this",
3,265.14,273.75,yeah no it's still on the left,it,
2,267.67,270.0,yeah but we put both ten so that they cancel out,"that, they",
1,269.75,272.25,now it's completely now,it,
3,276.75,277.5,you mean like this,this,"a25-BlueBlock, a142-BlueBlock"
2,279.04,281.05,so this is thirty oops sorry,this,
1,300.75,304.0,it's okay or we should just us scale it with this one,"it, it, this",a94-GreenBlock
1,313.42,316.42,it's it's two gram i think,"it, it",
1,316.67,318.92,it has until five but,it,
3,323.17,325.75,yeah it's i don't know,it,"a28-RedBlock, a95-PurpleBlock"
2,323.5,324.56,what does this do,this,
1,326.75,328.5,it's five gram now,it,
1,328.84,334.82,it's mmm it's this way plus five so you can,"it, it, this","a29-PurpleBlock, a144-PurpleBlock"
3,340.08,341.85,oh ok so it could be,it,
3,358.33,363.17,so if you move it there then we're adding like five grams yeah to that one,"it, that",
1,360.42,362.57,going to this one yeah,this,
2,363.42,369.92,no so it's divided it's two point five and two point five so it can't be other five that's not how it works,"it, it, it, that, it",
3,372.58,375.42,so is it to the right right now like the scale,it,
3,378.21,381.52,like the center scale is it to the right okay so,it,
1,381.25,383.56,but it doesn't have any,it,
1,394.03,397.25,ah yeah because yeah so it's fifty,it,
3,403.33,406.84,so if it's an interval of ten it should be forty but,"it, it",
3,408.33,411.34,it's more balanced with fifty grams,it,
3,429.0,432.0,otherwise uh like it wasn't balanced with,it,
1,431.52,432.33,it's slightly off,it,
2,433.33,435.05,it's slightly to the left that's what it,"it, that, it",
2,441.41,444.42,it could be forty but can we measure forty,it,
3,445.5,448.5,so so green,green,
2,445.67,449.42,so that is thirty plus ten so that is purple,"purple, that, that","a33-BlueBlock, a34-RedBlock"
2,450.5,452.75,purple plus red i guess,"purple, red",a35-BlueBlock
2,457.21,458.84,no okay i think it's fifty,it,
3,469.42,476.25,yeah i think so so red ten yeah,red,a97-GreenBlock
2,470.13,477.0,that is correct yellow is fifty purple was thirty blue is ten,"yellow, purple, blue, that",
3,491.91,492.67,green was,green,a98-Greenblock
3,494.42,496.14,twenty and purple was thirty,purple,"a42-PurpleBlock, a150-PurpleBlock"
2,530.0,533.5,maybe um maybe first you can try don't say it aloud,it,
2,534.15,537.66,you can try it don't say it aloud so that we don't biased,"it, it, that",a43-MysteryBlock
2,543.21,546.0,should we turn or something so that we don't biased,that,"a44-MysteryBlock, a99-PurpleBlock"
2,558.08,561.25,so is it also in like multiples of ten the weight,it,a45-RedBlock
3,594.91,610.14,i don't know like could somebody else like try ok i can yeah i think we have like two attempts to tell it to you yeah,it,"a56-RedBlock, a57-MysteryBlock, a103-BlueBlock, a104-YellowBlock"
2,600.75,602.82,ok you both try not to look so that,that,
3,611.32,613.92,okay so like we can discuss it amongst ourselves,it,a58-MysteryBlock
3,615.38,618.67,like we have to input it here so there will be like two tries,it,a105-YellowBlock
3,621.0,630.5,yes no no we can like talk about it amongst ourselves we just have like two tries to like fill it in,"it, it","a60-YellowBlock, a107-MysteryBlock"
1,622.0,624.0,so it's this last try,"it, this","a59-YellowBlock, a106-MysteryBlock"
2,644.41,646.5,yellow is fifty right,yellow,a64-YellowBlock
2,666.16,668.75,i think this is seventy,this,"a69-MysteryBlock, a111-YellowBlock"
3,670.25,674.75,do you want to like it felt more heavier to me i don'­t know,it,
3,676.58,679.09,yeah like i tried it with all the blocks,it,
2,679.11,683.56,maybe um picking like this might also help,this,"a70-YellowBlock, a112-MysteryBlock"
1,687.11,689.92,what about put it on one finger,it,
2,694.66,698.12,it's like difficult i'll have to place it for you maybe,"it, it",a71-YellowBlock
3,709.41,712.66,okay uh purple was heavier than green,"purple, green","a75-BlueBlock, a125-PurpleBlock"
1,714.94,717.25,i think they are equal yeah,they,a76-GreenBlock
2,716.66,717.42,now it's equal,it,
2,719.0,722.66,so this is uh thirty plus purple is,"purple, this",
3,722.25,723.75,uh yellow was fifty,yellow,
3,726.5,729.0,and this was twenty and this was thirty,"this, this",a122-MysteryBlock
2,731.83,740.16,so this is eighty okay so what do you think how did you hold it,"this, it",
3,733.03,741.16,yeah i think i thought like even all of these combined were like this,"these, this","a77-YellowBlock, a78-BlueBlock, a113-MysteryBlock"
2,741.92,743.75,like that like on three fingers,that,
3,750.5,752.5,yeah like this seems more,this,
2,752.75,758.83,one two three fingers i guess it might matter which fingers we're holding with i don't know,it,"a79-YellowBlock, a114-MysteryBlock"
2,766.16,767.42,oh maybe i'll try holding it here,it,a115-MysteryBlock
2,773.25,774.5,it kinda feels the same,it,a82-YellowBlock
2,775.0,778.75,can you put it on my these two fingers,"it, these",a83-YellowBlock
2,805.09,817.33,it's very difficult i don'­t know what side it is like if you pick it up like this so this is why i felt it is seventy is because i was holding it like this,"it, it, it, this, this, it, it, this","a88-PurpleBlock, a151-BlueBlock, a152-YellowBlock, a206-MysteryBlock"
1,806.59,812.33,because it's not just when we weighed it's not just the weight it's could be,"it, it, it","a86-YellowBlock, a87-MysteryBlock, a116-BlueBlock"
2,817.67,821.16,but now it does feel heavier actually now that you mention it,"it, that, it","a153-MysteryBlock, a207-YellowBlock"
1,824.5,829.84,so how about those two i had eh these two,"those, these","a154-MysteryBlock, a155-BlueBlock, a156-GreenBlock, a157-PurpleBlock, a208-YellowBlock"
3,829.05,832.0,uh green was twenty this is thirty this is fifty,"green, this, this","a158-GreenBlock, a159-PurpleBlock"
2,843.87,846.41,is there a better way to measure it,it,a164-GreenBlock
3,847.39,853.16,like if we were just measuring like one block we could just drop it to the ground the heavier one would fall first,it,
1,854.33,856.58,or juggling like this,this,a165-MysteryBlock
2,869.42,873.5,no i said seventy but now it could be more i don'­t know,it,a166-MysteryBlock
1,869.66,871.0,i think it should be,it,
2,874.25,880.54,actually feel this is equal to the combined weight of all of this now is there,"this, this","a167-YellowBlock, a213-MysteryBlock"
3,886.33,890.09,like it's generally this one,"it, this",
