Participant,Start,End,Transcript,keywords,Action_Objects
1,61.23,64.67,i guess if this red one's ten grams,"red, this","a1-RedBlock, a177-RedBlock"
2,63.42,66.0,we got red ten,red,"a2-BlueBlock, a178-BlueBlock"
1,72.45,76.17,seems like it might be about the same,it,
3,80.52,85.29,i would agree yeah so this one's ten,this,"a3-BlueBlock, a179-BlueBlock"
2,97.44,99.78,this is a sensitive scale,this,
1,102.3,103.5,that's looking pretty even,that,
1,110.82,113.19,so this one is noticeably heavier than,this,"a12-PurpleBlock, a186-GreenBlock"
2,109.44,110.75,probably that big sucker,that,"a11-GreenBlock, a184-None, a185-GreenBlock"
1,113.94,115.95,the purple ish one,purple,
1,119.42,121.75,making sure that it didn't have the weight at the bottom,"that, it",
2,116.79,125.37,it's just stuff written at the bottom that's a so that's a ten and a twenty right now right that's looking,"it, that, that, that",
2,127.62,130.21,they're increments of ten i would say that's probably,"they, that",
2,130.66,135.96,cause that's also a twenty let's double check that that's not also a twenty,"that, that, that",a13-BlueBlock
1,131.79,132.58,yeah it looks a little,it,
2,136.44,141.09,cause it um just that one there,"it, that","a14-RedBlock, a126-GreenBlock, a163-RedBlock"
3,137.36,138.33,is this one a twenty,this,
2,141.18,146.85,ok so it's more than twenty but it almost seems like the thirty takes it past but,"it, it, it","a15-BlueBlock, a16-GreenBlock, a127-RedBlock, a128-RedBlock, a164-None"
2,148.2,150.18,it's so sensitive,it,
2,157.58,159.58,if they're only in increments of ten it has to be,"they, it",
1,156.33,161.08,i think yeah it has to be thirty it,"it, it",
3,160.58,162.57,i think it could also be the position,it,a17-RedBlock
2,164.46,166.67,so big blue is probably thirty,blue,
1,168.42,171.21,so i would guess the yellow one is gonna be,yellow,"a18-PurpleBlock, a129-PurpleBlock"
3,186.24,190.92,yeah that's considerably heavier so this one did we say this was thirty,"that, this, this",a23-PurpleBlock
3,191.01,192.58,and this was ten,this,a24-BlueBlock
2,192.61,195.21,yeah that's thirty green is twenty,"green, that",a25-RedBlock
2,195.24,196.42,red and small blue are both ten,"red, blue",a26-RedBlock
3,196.52,199.41,it's definitely not thirty so it has to,"it, it","a27-PurpleBlock, a189-PurpleBlock"
3,201.21,202.25,but it's too heavy,it,
1,202.58,203.97,so that's,that,
1,205.44,209.58,this is fifty on here so then,this,
2,208.84,211.5,yeah green and big blue,"green, blue",
3,211.56,222.66,did we try forty we did try forty because this one's thirty and then this one's or this one's twenty so this,"this, this, this, this","a28-PurpleBlock, a29-BlueBlock, a130-GreenBlock, a165-BlueBlock, a190-PurpleBlock"
1,211.56,211.92,big blue,blue,
