Utterance,Participant,Start,End,Transcript,Action_Objects,Annotation
0,2,5.97,8.04,or is [it],,[g]
1,2,8.07,11.55,yeah green is for twenty,,
3,3,15.45,18.21,i'll just take [these] off and then we can have a little bit more,"a1-PurpleBlock, a59-RedBlock, a83-RedBlock, a104-PurpleBlock",[rb]
6,3,22.65,24.63,[it]'s ok,,[-]
7,1,25.74,29.31,can i add the red one or blue one here maybe [it] might be thirty,,[p]
9,2,32.52,35.67,so twenty [that]'s thirty,,[p]
11,1,42.6,48.72,yeah so the blue one is thirty,,
12,3,42.6,48.72,i mean the fact [that] [it]'s teetering back and forth [it]'s close enough [they]'re just increments of ten grams,,[-] [-] [-] [rgbpy]
14,2,48.78,51.75,blue is thirty big blue is thirty,a105-PurpleBlock,
15,3,51.87,54.33,so [it]'s thirty here,"a4-PurpleBlock, a5-GreenBlock, a106-GreenBlock",[p]
16,1,56.55,64.86,did we measure we didn't measure the yellow just keep one,,
17,2,56.55,64.86,did we measure we didn't measure the the yellow one right we might,"a7-YellowBlock, a8-RedBlock, a9-RedBlock, a62-BlueBlock, a107-YellowBlock",
21,2,67.98,73.95,let's try both the green ones now i mean both the big ones yeah,"a11-RedBlock, a63-PurpleBlock, a64-GreenBlock, a84-BlueBlock, a108-GreenBlock",
23,1,74.07,76.05,oh [that]'s too heavy,,[gp]
25,1,78.51,80.61,keep [that] one,"a12-GreenBlock, a109-GreenBlock",[b]
26,2,84.75,88.17,what if we do the green one and the two smaller cubes,,
27,2,88.53,91.26,cause [that]'s going to be pushing [that] way,,[-] [-]
28,1,91.53,95.79,[this] is twenty or thirty,,[p]
29,3,91.53,95.79,gotcha are [they] centered,a110-RedBlock,[rbpy]
30,2,96.06,99.69,yeah i feel [that] way,,[-]
31,3,96.06,99.69,let's just make sure i guess [they] are centered [these] are ten,a13-RedBlock,[py] [rb]
32,2,100.05,106.77,green green is twenty so green is twenty and then we said [this] one is thirty right,,[-]
33,3,100.05,106.77,green is twenty ok green is twenty thirty yeah,"a14-YellowBlock, a15-YellowBlock, a16-GreenBlock, a66-GreenBlock, a111-YellowBlock, a112-YellowBlock, a113-GreenBlock",
37,2,119.76,126.39,[that]'s too light and we know [that] green is equal to,"a18-RedBlock, a19-RedBlock, a67-RedBlock, a85-GreenBlock, a97-PurpleBlock",[rp] [-]
38,2,126.42,128.4,[this] one and [that] one,,[b] [g]
39,2,128.94,131.25,so let's try [this] one too,"a20-RedBlock, a68-BlueBlock",[b]
40,1,132,134.91,oh [it]'s more than forty,a21-BlueBlock,[y]
41,3,136.23,141.09,so let's see oh wait [it]'s leaning now,"a22-GreenBlock, a69-RedBlock, a70-PurpleBlock",[-]
43,2,155.4,162.21,[it]'s definitely not staying in between right,,[-]
45,1,155.4,162.21,yeah [it]'s more than forty,a116-None,[y]
46,1,162.3,164.88,[this] is thirty [this] is twenty,"a24-PurpleBlock, a71-GreenBlock",[p] [g]
49,1,165.72,168.09,[this] is more than forty,a25-YellowBlock,[y]
61,1,197.1,204.87,yeah [it] is between forty and fifty,,[y]
62,3,197.1,204.87,i mean [it] could be just like how [they] were placed on like measured at like i don't know,,[-] [rbp]
63,2,206.07,212.19,so we can move one of [these],,[rbp]
64,1,206.07,212.19,we tried all of the combinations yeah yeah we can try [this],,[-]
68,3,215.97,220.35,we know [it]'s between forty and fifty we can't really,,[y]
71,3,225.06,231.03,directly compare [it] um,,[y]
72,1,225.06,231.03,actually just adding one gram made [it] equal,,[-]
75,2,234.93,237.9,oh yeah cause [it]'s a scale yeah so,,[-]
77,1,237.93,243.21,so [it]'s forty one,,[y]
80,2,248.55,252.9,where should we put [it] then in forty,,[y]
81,1,253.23,258.84,presume because [they] didn't come to [that] sect right shall we try to measure [it] accurately,a31-GreenBlock,[-] [-] [y]
82,3,259.11,261.87,wait so is [this] just in the wrong place or is [this] the twenty,,[g] [g]
84,3,263.01,272.73,is [this] in the wrong place or is [this] ok so [this] is thirty fifty minus one so,,[g] [g] [p]
85,1,272.91,278.28,ok minus one [it] is yeah so [it] is forty nine yeah forty nine yeah,,[-] [y]
87,3,280.2,284.04,ok so [it]'s probably meant to be just fifty and was placed differently,"a33-BlueBlock, a74-RedBlock, a102-None",[-]
88,3,284.34,286.32,and callibrate [it],,[-]
89,3,287.28,289.59,did you hear [that],"a34-PurpleBlock, a118-PurpleBlock",[-]
93,3,310.2,315.48,should we double check anything or just assume [that] we got [it],,[-] [-]
96,1,316.92,323.37,should we tenths length ok [that]'s fine yeah,"a38-BlueBlock, a122-BlueBlock",[-]
98,3,323.49,326.25,yeah we just got stumped cause [it] was like,"a39-PurpleBlock, a123-PurpleBlock",[-]
102,2,336.18,348,so yellow is fifty [they] said yellow's cause [it] was forty so yellow's fifty green is twenty,"a41-RedBlock, a42-PurpleBlock, a43-PurpleBlock, a44-GreenBlock, a125-RedBlock, a126-PurpleBlock, a127-PurpleBlock, a128-GreenBlock",[-] [y]
105,2,349.74,352.02,um purple is thirty,,
106,2,353.88,358.05,yeah and and um what's the other one blue blue is ten,,
109,2,365.91,368.13,so red is ten,,
111,2,371.1,373.5,um green is twenty and then yellow,,
114,3,382.26,384.24,mystery block,,
