Utterance,Participant,Start,End,Transcript,Action_Objects,Annotation
22,3,97.53,106.08,i think so as well or i think [it]'s the other way around uh. yeah,,[-]
23,2,107.1,109.35,[it] seems to be ten,,[b]
25,3,110.34,115.71,yeah uh. [this] is blue,,[b]
26,2,110.34,115.71,is [that] blue or purple [this] is blue i guess,"a3-BlueBlock, a127-BlueBlock",[b] [b]
27,3,116.58,121.68,and [this] was ten. okay,,[b]
29,2,121.71,124.47,try to put one of [them],"a4-BlueBlock, a89-PurpleBlock, a128-PurpleBlock",[gpy]
31,3,124.62,128.1,oh [that]'s the heaviest,"a5-PurpleBlock, a129-PurpleBlock",[p]
32,2,128.79,132.21,oh [this] seems to heavy,"a6-YellowBlock, a7-YellowBlock, a130-YellowBlock, a131-YellowBlock",[y]
35,1,136.77,138.84,think [it] should be,,[g]
36,3,139.86,143.4,yeah [they] should be twenty as well. uhh,,[g]
37,3,146.01,150.63,okay. should i put [this] as twenty,,[g]
38,1,146.01,150.63,yeah. green,"a9-GreenBlock, a133-GreenBlock",
40,1,151.56,154.59,now [it]'s forty,,[rbg]
42,1,154.62,156.69,[this] is,a10-PurpleBlock,[p]
44,1,157.65,160.8,no no no [that]'s silly,"a11-PurpleBlock, a12-Yellowblock",[-]
45,2,161.19,165.12,think [that]'s heavier. yeah yeah yeah [that]'s lighter yeah,,[y] [p]
46,1,161.19,165.12,[this] one or [this] one,a13-PurpleBlock,[p] [y]
48,3,179.43,182.52,yeah i think [it]'s yeah thirty,,[p]
57,2,207.51,211.74,[it]'s not exactly aligning but [it] could be,,[-] [y]
60,2,226.56,230.13,fifty and the purple is,,
65,3,236.79,245.64,fifty. oh purple is thirty. uh yellow,,
67,1,236.79,245.64,i'm sorry. [it] purple is thirty,a23-RedBlock,[p]
68,1,245.73,252.27,do you want to put ten. [it] is,,[b]
70,2,245.73,252.27,should i. so [this] seem [it]'s little more. yeah so should i put something here,"a93-BlueBlock, a140-BlueBlock",[gp] [gp]
71,3,252.63,254.61,we can try [it] yeah,,[-]
75,2,260.25,262.26,but then [that]'ll even [this] is,a141-None,[-] [r]
76,2,263.19,265.17,[this] is ten ok we know [that] [this] is ten,,[r] [-] [r]
77,2,265.29,274.92,yeah but we put both ten so [that] [they] cancel out,,[-] [rb]
78,3,265.29,274.92,yeah. no [it]'s still on the left,,[-]
79,1,265.29,274.92,now [it]'s completely now,a24-RedBlock,[-]
80,3,275.4,277.95,and you mean like [this],"a25-BlueBlock, a94-GreenBlock, a142-BlueBlock",[-]
81,2,279,281.34,so [this] is thirty oops sorry,,[p]
87,1,300.93,311.13,[it]'s okay or we should just us scale [it] with [this] one,"a26-PurpleBlock, a27-RedBlock, a143-PurpleBlock",[-] [-] [g]
89,1,311.91,316.5,[it]'s [it]'s two gram i think,,[-] [-]
90,1,317.25,320.4,[it] has until five but,,[-]
92,2,323.19,329.25,what does [this] do,,[-]
93,1,323.19,329.25,[it]'s five gram now. [it]'s,,[-] [-]
94,3,323.19,329.25,yeah [it]'s. i don't know,"a28-RedBlock, a95-PurpleBlock",[-]
95,1,329.4,335.28,mmm [it]'s [this] way plus five. so you can,"a29-PurpleBlock, a144-PurpleBlock",[-] [-]
98,3,340.26,344.94,oh ok so [it] could be,,[y]
103,3,358.41,363.39,so if you move [it] there then we're adding like five grams. yeah to [that] one,,[-] [y]
105,1,358.41,363.39,going to [this] one. yeah,,[y]
106,2,363.99,367.95,[it]'s divided [it]'s two point five and two point five so [it] can't be,,[-] [-] [-]
107,3,370.2,376.02,so is [it] to the right right now like the scale,,[-]
109,1,378.48,386.01,but [it] doesn't have any,,[-]
110,2,378.48,386.01,yeah but we put both ten so [that] [they] cancel out. are we allowed to ask questions,,[-] [rb]
111,3,378.48,386.01,like the center scale is [it] to the right. okay so,,[-]
114,1,394.05,399.12,ah yeah because yeah. so [it]'s fifty,,[y]
118,3,403.41,407.13,so if [it]'s an interval of ten [it] should be forty but,,[y] [y]
119,3,408.33,411.45,[it]'s more balanced with fifty grams,,[-]
124,1,429.15,432.87,[it]'s slightly off,,[-]
125,3,429.15,432.87,otherwise uh like [it] wasnít balanced with,,[-]
127,2,433.02,436.89,[it]'s slightly to the left [that]'s what [it],,[-] [-] [-]
129,2,437.76,444.87,[it] could be forty but can we measure forty,,[y]
130,2,445.68,449.94,so [that] is thirty plus ten so [that] is purple,,[pbr] [p]
131,3,445.68,449.94,so. so green,"a33-BlueBlock, a34-RedBlock",
133,2,450.63,454.41,purple plus red i guess,"a35-BlueBlock, a36-PurpleBlock, a146-PurpleBlock",
135,2,456.39,460.8,no. okay i think [it]'s fifty,"a37-RedBlock, a38-PurpleBlock, a97-GreenBlock, a147-PurpleBlock",[y]
137,3,468.72,476.61,yeah. i think so so red ten. yeah,,
138,2,468.72,476.61,[that] is correct. red is ten. yellow is fifty. purple was thirty,,[-]
142,3,491.13,493.35,green was,"a41-YellowBlock, a98-Greenblock, a149-YellowBlock",
143,3,494.43,496.83,twenty and purple was thirty,"a42-PurpleBlock, a150-PurpleBlock",
